factura;codigo_prov;nombre;categoria_tipo;marca;color;largo_cm;ancho_cm;unidad_venta;m2_por_caja;cantidad;precio_costo;precio_base;notas
0005910;60006;Piso 60x60 Retificado 60006;piso;Decore;madera;60;60;m2;2.02;145.44;23500;33000;VERIFICAR cantidad contra factura fisica
promo_sideragro;20329;Kit Inodoro Cisterna Baja Dona + Gabinete Sider Opera + Asiento Astra Paris;sanitario;Sider;gris claro;;;pieza;;1;;799000;Precio de oferta SiderAgro (promo 101 14/05); sin costo mayorista confirmado
promo_sideragro;27372;Kit Inodoro Cisterna Baja Alamo + Gabinete Sider Blanco + Asiento Thema;sanitario;Sider;blanco;;;pieza;;1;;647000;Precio de oferta SiderAgro (promo 112 25/05); sin costo mayorista confirmado
catalogo_minga;19964;Conjunto p/Baño Mod. KS 65cm Blanco/Volakas c/pie;sanitario;Sao Joao;blanco;;;pieza;;1;399365;559000;Precio2 de catalogo usado como costo distribuidor
catalogo_minga;30959;Conjunto p/Baño Mod. Lyon 55cm Solanum/Provence c/pie;sanitario;Sao Joao;madera/blanco;;;pieza;;1;471450;660000;Precio2 de catalogo usado como costo distribuidor
catalogo_minga;19963;Conjunto p/Baño Mod. KS 65cm Blanco/Nero c/pie;sanitario;Sao Joao;blanco/negro;;;pieza;;1;399460;559000;Precio2 de catalogo usado como costo distribuidor
catalogo_minga;30962;Conjunto p/Baño Mod. Nix 50cm c/pie Blanco/Solanum;sanitario;Sao Joao;blanco/madera;;;pieza;;1;376950;528000;Precio2 de catalogo usado como costo distribuidor
catalogo_minga;20420;Inodoro Cisterna Baja Araxa Blanco Santa Clara;sanitario;Santa Clara;blanco;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
catalogo_minga;20422;Inodoro Cisterna Baja Araxa Gris Claro Santa Clara;sanitario;Santa Clara;gris claro;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
catalogo_minga;20400;Inodoro Alta Araxa Blanco Santa Clara;sanitario;Santa Clara;blanco;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
catalogo_minga;17031;Nivelador de piso 1.0mm pct c/100 incoloro cj c/12;otro;Metasul;incoloro;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
catalogo_minga;16855;Nivelador de piso 1.5mm pct c/100 incoloro cj c/12;otro;Metasul;incoloro;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
catalogo_minga;16856;Nivelador de piso 2.0mm pct c/100 incoloro cj c/12;otro;Metasul;incoloro;;;pieza;;;;;PENDIENTE precio - no se carga hasta completar
sin_factura;;Argamassa Multiuso Cola Bem 14 en 1 (20kg);otro;Cola Bem;;;;pieza;;;;;PENDIENTE precio y codigo - no se carga hasta completar
