pagina;proveedor;factura;fecha;cod_proveedor;descripcion_factura;categoria_sugerida;marca;nombre_producto;color;largo_cm;ancho_cm;unidad_venta;m2_por_caja;piezas_por_caja;cantidad_factura;unidad_cantidad;cajas;costo_unitario_gs;total_linea_gs;observaciones
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;20422;INODORO CISTERNA BAJA ARAXA GRIS CLARO SANTA CLARA;inodoro;SANTA CLARA;Inodoro cisterna baja Araxa;Gris Claro;;;pieza;;;2;un;;399000;798000;tipo_cisterna=baja
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;20400;INODORO ALTA ARAXA BLANCO SANTA CLARA;inodoro;SANTA CLARA;Inodoro cisterna alta Araxa;Blanco;;;pieza;;;3;un;;184552;553656;MANUSCRITO: cantidad corregida a 3 (aplicada). tipo_cisterna=alta
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;17031;NIVELADOR DE PISO 1.0MM PCT C/100 INCOLOR CJ C/12;otro;PCT;Nivelador de piso 1.0mm (paquete x100);Incolor;;;pieza;;100;120;paq;;10395;1247400;Caja x12 paquetes de 100 piezas
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;16855;NIVELADOR DE PISO 1.5MM PCT C/100 INCOLOR CJ C/12;otro;PCT;Nivelador de piso 1.5mm (paquete x100);Incolor;;;pieza;;100;36;paq;;10395;374220;Caja x12 paquetes de 100 piezas
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;16856;NIVELADOR DE PISO 2.0MM PCT C/100 INCOLOR CJ C/12;otro;PCT;Nivelador de piso 2.0mm (paquete x100);Incolor;;;pieza;;100;36;paq;;10395;374220;Caja x12 paquetes de 100 piezas
9;SiderAgro S.A. (RUC 80026064-3);001-001-0055007;2026-05-28;23387;CUNA NIVELADORA PISO METASUL NEGRA GRANDE (PQT C/50 UN) CJ C/12;otro;METASUL;Cuna niveladora de piso grande (paquete x50);Negra;;;pieza;;50;60;paq;;12600;756000;"MANUSCRITO: ""NO"" - confirmar si entra al stock"
9;SiderAgro S.A. (RUC 80026064-3);001-001-0055007;2026-05-28;848;PINZA NIVELADORA DE PISO AZUL METASUL (845001) CJ C/8 UN;otro;METASUL;Pinza niveladora de piso;Azul;;;pieza;;;8;un;;24045;192360;Cod. fabrica 845001
10;SiderAgro S.A. (RUC 80026064-3);001-001-0055006;2026-05-28;20330;KIT INO. CIST. BAJA D.BEJA NEGRO+GAB. SIDER 45CM NERO+KIT INST. PARIS ASTRA;inodoro;SIDER;Kit inodoro cisterna baja Dona Beja + gabinete Sider 45cm;Negro/Nero;;;juego;;;3;un;;799000;2397000;
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;5645;CISTERNA CIPLA C-4/2 AZUL (2957);cisterna;CIPLA;Cisterna Cipla C-4/2;Azul;;;pieza;;;6;un;;47000;282000;Ref. fabrica 2957. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;7;CISTERNA CIPLA C-4/2 BLANCA (0606);cisterna;CIPLA;Cisterna Cipla C-4/2;Blanca;;;pieza;;;10;un;;47000;470000;Ref. fabrica 0606. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2417;CISTERNA CIPLA C-4/2 CARAMELO (0607);cisterna;CIPLA;Cisterna Cipla C-4/2;Caramelo;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0607. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2775;CISTERNA CIPLA C-4/2 GRIS (0608);cisterna;CIPLA;Cisterna Cipla C-4/2;Gris;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0608. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2419;CISTERNA CIPLA C-4/2 GRIS CLARO (0711);cisterna;CIPLA;Cisterna Cipla C-4/2;Gris Claro;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0711. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2415;CISTERNA CIPLA C-4/2 GRIS OSCURO (0597);cisterna;CIPLA;Cisterna Cipla C-4/2;Gris Oscuro;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0597. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2418;CISTERNA CIPLA C-4/2 NARANJA TROPICAL (0609);cisterna;CIPLA;Cisterna Cipla C-4/2;Naranja Tropical;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0609. Mismo producto, 8 variantes de color
11;SiderAgro S.A. (RUC 80026064-3);001-001-0055008;2026-05-28;2499;CISTERNA CIPLA C-4/2 VERDE MALVA (0600);cisterna;CIPLA;Cisterna Cipla C-4/2;Verde Malva;;;pieza;;;6;un;;47000;282000;Ref. fabrica 0600. Mismo producto, 8 variantes de color
12;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0181971;2026-08-18;048030;ELIZABETH 60X60 PURE WHITE POL A 1.80M2XCAJA DSN;porcelanato;DSN;Elizabeth Pure White pulido 60x60;Pure White;60;60;m2;1.8000;5;144.00;m2;80;57498;8279712;Acabado pulido. Precio por m2
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;431-2;CONJUNTO ICASA 4X3PZ BEIGE;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Beige;;;juego;;3;1;un;;77000;77000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;432-9;CONJUNTO ICASA 4X3PZ BLANCO;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Blanco;;;juego;;3;2;un;;77000;154000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;433-6;CONJUNTO ICASA 4X3PZ GRIS CLARO;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Gris Claro;;;juego;;3;1;un;;77000;77000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;434-3;CONJUNTO ICASA 4X3PZ GRIS OSCURO;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Gris Oscuro;;;juego;;3;1;un;;82000;82000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;435-0;CONJUNTO ICASA 4X3PZ OCRE;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Ocre;;;juego;;3;1;un;;82000;82000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;SIN CODIGO LEGIBLE;CONJUNTO ICASA 4X3PZ NEGRO;accesorio_bano;ICASA;Conjunto Icasa 4x3 piezas;Negro;;;juego;;3;2;un;;101000;202000;CODIGO TAPADO POR LA PERFORACION DEL PAPEL (pag. 14) - cargar a mano
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1179-2;KIT ACCESORIO P/BANO PLASTICO 5PZ CRISTAL 10x1PC;accesorio_bano;ICASA;Kit accesorios para bano plastico 5 piezas;Cristal;;;juego;;5;6;un;;35750;214500;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1180-6;KIT ACCESORIO P/BANO METAL 5PZ 10x1PC;accesorio_bano;ICASA;Kit accesorios para bano metal 5 piezas;Metal;;;juego;;5;6;un;;65000;390000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1428-1;MINGITORIO C/SIFON GRIS OSCURO ICASA;migitorio;ICASA;Mingitorio Icasa con sifon;Gris Oscuro;;;pieza;;;2;un;;321000;642000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1430-4;MINGITORIO C/SIFON BEIGE ICASA;migitorio;ICASA;Mingitorio Icasa con sifon;Beige;;;pieza;;;2;un;;310000;620000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1431-1;MINGITORIO C/SIFON BLANCO ICASA;migitorio;ICASA;Mingitorio Icasa con sifon;Blanco;;;pieza;;;2;un;;310000;620000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1432-8;MINGITORIO C/SIFON NEGRO ICASA;migitorio;ICASA;Mingitorio Icasa con sifon;Negro;;;pieza;;;2;un;;355000;710000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;1433-5;MINGITORIO C/SIFON OCRE ICASA;migitorio;ICASA;Mingitorio Icasa con sifon;Ocre;;;pieza;;;2;un;;321000;642000;
14;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058096;2026-08-18;4509-7;KIT ACCESORIO P/BANO PLASTICO 5PZ BLANCO 10x1PC;accesorio_bano;ICASA;Kit accesorios para bano plastico 5 piezas;Blanco;;;juego;;5;6;un;;35750;214500;Codigo poco nitido (pag. 14) - verificar
15;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058097;2026-08-18;SIN CODIGO LEGIBLE;PUERTA PVC BLANCO 0.72x2.10;otro;PERIN;Puerta PVC 0.72x2.10;Blanco;210.0;72.0;pieza;;;3;un;;106000;318000;CODIGO CORTADO EN EL ESCANEO (pag. 15) - cargar a mano
15;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058097;2026-08-18;2701-4;PUERTA PVC BLANCO 0.80x2.10;otro;PERIN;Puerta PVC 0.80x2.10;Blanco;210.0;80.0;pieza;;;3;un;;114000;342000;
15;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058097;2026-08-18;2703-8;PUERTA PVC GRIS 0.72x2.10;otro;PERIN;Puerta PVC 0.72x2.10;Gris;210.0;72.0;pieza;;;3;un;;106000;318000;
15;AGRO ACEROS S.A. (RUC 80117815-0);001-001-0058097;2026-08-18;2706-2;PUERTA PVC GRIS 0.80x2.10;otro;PERIN;Puerta PVC 0.80x2.10;Gris;210.0;80.0;pieza;;;3;un;;114000;342000;
16;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048949;2026-08-14;7712;CORTAG | EXHIBIDOR - 61729;otro;CORTAG;Exhibidor Cortag;;;;pieza;;;1;un;;119770;119770;Mueble de exhibicion, NO es mercaderia de venta - confirmar si se carga
17;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048946;2026-08-14;8086;CORTAG | Clips Nivelador ECO 1,0mm - Azul - Bolsa c/ 50 Pcs - 61334;otro;CORTAG;Clips nivelador ECO 1,0mm (bolsa x50);Azul;;;pieza;;50;180;bolsa;;10000;1800000;Ref. 61334
17;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048946;2026-08-14;8087;CORTAG | Clips Nivelador ECO 1,5mm - Rojo - Bolsa c/ 50 Pcs - 61336;otro;CORTAG;Clips nivelador ECO 1,5mm (bolsa x50);Rojo;;;pieza;;50;96;bolsa;;10000;960000;Ref. 61336
17;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048946;2026-08-14;8088;CORTAG | Clips Nivelador ECO 2,0mm - Verde - Bolsa c/ 50 Pcs - 61338;otro;CORTAG;Clips nivelador ECO 2,0mm (bolsa x50);Verde;;;pieza;;50;24;bolsa;;10000;240000;Ref. 61338
17;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048946;2026-08-14;7511;CORTAG | Cuna Tradicional p/ Nivelamiento 50 Pcs - Rojo/Amarillo - 60694;otro;CORTAG;Cuna tradicional para nivelamiento (bolsa x50);Rojo/Amarillo;;;pieza;;50;120;bolsa;;25000;3000000;Ref. 60694
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;6961;CORONA LAGUNA Inodoro - Negro - 03007-160;inodoro;CORONA;Corona Laguna Inodoro;Negro;;;pieza;;;2;un;;230000;460000;Ref. fabrica 03007-160
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;6958;CORONA LAGUNA Lavamanos - Negro - 01411-160;bacha;CORONA;Corona Laguna Lavamanos;Negro;;;pieza;;;2;un;;110000;220000;Ref. fabrica 01411-160
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;6962;CORONA LAGUNA Pedestal - Negro - 05210-160;bacha;CORONA;Corona Laguna Pedestal;Negro;;;pieza;;;2;un;;95000;190000;Ref. fabrica 05210-160
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;6964;CORONA LAGUNA Tanque - Negro - 03403-160;inodoro;CORONA;Corona Laguna Tanque;Negro;;;pieza;;;2;un;;230000;460000;Ref. fabrica 03403-160
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;7729;CORONA LAGUNA Tapa asiento Conforto Redondo - Negro - 82160;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Conforto Redondo;Negro;;;pieza;;;2;un;;35000;70000;Ref. fabrica 82160
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;5437;CORONA LAGUNA Inodoro - Gris - 03007-155;inodoro;CORONA;Corona Laguna Inodoro;Gris;;;pieza;;;2;un;;230000;460000;Ref. fabrica 03007-155
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;5442;CORONA LAGUNA Lavamanos - Gris - 07339-155;bacha;CORONA;Corona Laguna Lavamanos;Gris;;;pieza;;;2;un;;110000;220000;Ref. fabrica 07339-155
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;5441;CORONA LAGUNA Pedestal - Gris - 070331-155;bacha;CORONA;Corona Laguna Pedestal;Gris;;;pieza;;;2;un;;95000;190000;Ref. fabrica 070331-155
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;5438;CORONA LAGUNA Tanque - Gris - 03403-155;inodoro;CORONA;Corona Laguna Tanque;Gris;;;pieza;;;2;un;;230000;460000;Ref. fabrica 03403-155
18;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048944;2026-08-14;7735;CORONA LAGUNA Tapa asiento Basic - Gris - 86955;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Basic;Gris;;;pieza;;;2;un;;35000;70000;Ref. fabrica 86955
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4984;CORONA LAGUNA Inodoro - Blanco - 03007-100;inodoro;CORONA;Corona Laguna Inodoro;Blanco;;;pieza;;;3;un;;222500;667500;Ref. fabrica 03007-100
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4911;CORONA LAGUNA Lavamanos - Blanco - 07339-100;bacha;CORONA;Corona Laguna Lavamanos;Blanco;;;pieza;;;3;un;;110000;330000;Ref. fabrica 07339-100
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4910;CORONA LAGUNA Pedestal - Blanco - 070331-100;bacha;CORONA;Corona Laguna Pedestal;Blanco;;;pieza;;;3;un;;90000;270000;Ref. fabrica 070331-100
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;3933;CORONA LAGUNA Tanque - Blanco - 03403-100;inodoro;CORONA;Corona Laguna Tanque;Blanco;;;pieza;;;3;un;;222500;667500;Ref. fabrica 03403-100
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4759;CORONA LAGUNA Tapa asiento Conforto Redondo - Blanco - 909000001;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Conforto Redondo;Blanco;;;pieza;;;3;un;;35000;105000;Ref. fabrica 909000001
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4943;CORONA LAGUNA Inodoro - Bone - 03007-103;inodoro;CORONA;Corona Laguna Inodoro;Bone;;;pieza;;;3;un;;230000;690000;Ref. fabrica 03007-103
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;4866;CORONA LAGUNA Lavamanos - Bone - 07339-103;bacha;CORONA;Corona Laguna Lavamanos;Bone;;;pieza;;;3;un;;110000;330000;Ref. fabrica 07339-103
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;5105;CORONA LAGUNA Pedestal - Bone - 070331-103;bacha;CORONA;Corona Laguna Pedestal;Bone;;;pieza;;;3;un;;95000;285000;Ref. fabrica 070331-103
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;5078;CORONA LAGUNA Tanque - Bone - 03403-103;inodoro;CORONA;Corona Laguna Tanque;Bone;;;pieza;;;3;un;;230000;690000;Ref. fabrica 03403-103
19;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048945;2026-08-14;5191;CORONA LAGUNA Tapa asiento Conforto Redondo - Bone - 909710001;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Conforto Redondo;Bone;;;pieza;;;3;un;;35000;105000;Ref. fabrica 909710001
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5082;CORONA LAGUNA Inodoro - Azul Oscuro - 03007-118;inodoro;CORONA;Corona Laguna Inodoro;Azul Oscuro;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03007-118
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5109;CORONA LAGUNA Lavamanos - Azul Oscuro - 07339-118;bacha;CORONA;Corona Laguna Lavamanos;Azul Oscuro;;;pieza;;;1;un;;110000;110000;Ref. fabrica 07339-118
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5108;CORONA LAGUNA Pedestal - Azul Oscuro - 070331-118;bacha;CORONA;Corona Laguna Pedestal;Azul Oscuro;;;pieza;;;1;un;;95000;95000;Ref. fabrica 070331-118
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5083;CORONA LAGUNA Tanque - Azul Oscuro - 03403-118;inodoro;CORONA;Corona Laguna Tanque;Azul Oscuro;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03403-118
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;7733;CORONA LAGUNA Tapa asiento Basic - Azul Oscuro - 869180001;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Basic;Azul Oscuro;;;pieza;;;1;un;;35000;35000;Ref. fabrica 869180001
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5434;CORONA LAGUNA Inodoro - Vino Tinto - 03007-129;inodoro;CORONA;Corona Laguna Inodoro;Vino Tinto;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03007-129
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;4865;CORONA LAGUNA Lavamanos - Vino Tinto - 07339-129;bacha;CORONA;Corona Laguna Lavamanos;Vino Tinto;;;pieza;;;1;un;;110000;110000;Ref. fabrica 07339-129
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5443;CORONA LAGUNA Pedestal - Vino Tinto - 070331-129;bacha;CORONA;Corona Laguna Pedestal;Vino Tinto;;;pieza;;;1;un;;95000;95000;Ref. fabrica 070331-129
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;5435;CORONA LAGUNA Tanque - Vino Tinto - 03403-129;inodoro;CORONA;Corona Laguna Tanque;Vino Tinto;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03403-129
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;7734;CORONA LAGUNA Tapa asiento Basic - Vino Tinto - 86929;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Basic;Vino Tinto;;;pieza;;;1;un;;35000;35000;Ref. fabrica 86929
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5087;CORONA LAGUNA Inodoro - Verde Claro - 03007-141;inodoro;CORONA;Corona Laguna Inodoro;Verde Claro;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03007-141
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5113;CORONA LAGUNA Lavamanos - Verde Claro - 07339-141;bacha;CORONA;Corona Laguna Lavamanos;Verde Claro;;;pieza;;;1;un;;110000;110000;Ref. fabrica 07339-141
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5112;CORONA LAGUNA Pedestal - Verde Claro - 070331-141;bacha;CORONA;Corona Laguna Pedestal;Verde Claro;;;pieza;;;1;un;;95000;95000;Ref. fabrica 070331-141
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5088;CORONA LAGUNA Tanque - Verde Claro - 03403-141;inodoro;CORONA;Corona Laguna Tanque;Verde Claro;;;pieza;;;1;un;;230000;230000;Ref. fabrica 03403-141
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5086;CORONA LAGUNA Tapa asiento Conforto Redondo - Verde Claro - 901410001;tapa_inodoro;CORONA;Corona Laguna Tapa asiento Conforto Redondo;Verde Claro;;;pieza;;;1;un;;35000;35000;Ref. fabrica 901410001
